N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,금호석유,"165,500","3,000",+1.85%,"5,000","50,424","30,468",28.65,"492,615",14.16,11.84,
60,강원랜드,"23,400",50,-0.21%,500,"50,062","213,940",22.20,"599,296",-26.35,9.16,
61,대한항공,"28,400",50,+0.18%,"5,000","49,476","174,210",12.56,"3,713,895",-6.48,-22.09,
62,한국금융지주,"88,500","5,500",+6.63%,"5,000","49,318","55,726",29.91,"1,366,944",8.10,18.14,
63,오리온,"123,500",500,-0.40%,500,"48,827","39,536",41.83,"100,647",17.84,14.24,
64,삼성중공업,"7,460",10,+0.13%,"5,000","46,998","630,000",15.49,"12,736,718",-3.76,-21.88,
65,한국타이어앤테크놀로지,"37,200","1,050",-2.75%,500,"46,082","123,875",39.13,"506,648",17.90,6.03,
66,SK케미칼,"386,500","5,000",-1.28%,"5,000","45,380","11,741",17.52,"136,921",17.64,1.51,
67,한미약품,"383,000","21,000",+5.80%,"2,500","45,359","11,843",13.52,"583,558","-3,718.45",7.30,
68,아모레G,"54,900",600,-1.08%,500,"45,270","82,458",19.51,"166,782",193.99,4.12,
69,현대중공업지주,"286,000","3,500",+1.24%,"5,000","45,184","15,799",17.22,"102,804",-17.33,2.20,
70,현대건설,"40,200",100,+0.25%,"5,000","44,765","111,356",18.85,"2,008,185",19.60,6.30,
71,LG이노텍,"183,500","5,000",-2.65%,"5,000","43,429","23,667",33.02,"322,105",33.27,4.73,
72,이마트,"155,000","3,000",-1.90%,"5,000","43,208","27,876",31.53,"303,271",7.74,2.76,
73,한진칼,"63,900",500,-0.78%,"2,500","42,342","66,263",15.22,"179,607",-10.54,-17.56,
74,CJ대한통운,"173,000","4,000",-2.26%,"5,000","39,465","22,812",21.36,"110,323",31.19,1.41,
75,맥쿼리인프라,"10,600",50,-0.47%,0,"39,452","372,192",14.12,"729,368",N/A,N/A,
76,대웅,"66,800",100,-0.15%,500,"38,839","58,142",5.40,"7,401,667",76.96,10.43,
